index,Name,Hall_of_Fame_Class,Year_Drafted,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
0,Jeff Taylor,,1982,44,17.6,3.6,1.5,3.6,40,0,0,0,0.7,1,65.2,0.6,1.2,1.8,2.5,0.9,0.3,1.4,5.2
1,Charles Smith,,1988,71,30.4,16.3,6.1,12.4,49.5,0,0,0,4,5.5,72.5,2.4,4.1,6.5,1.5,1,1.3,2.1,16.7
2,Mark Davis,,1988,33,7.8,3.8,1.5,3.1,48,0,0.3,10,0.8,1,82.4,0.5,0.6,1.1,0.4,0.4,0.1,0.4,3.8
3,Charles Smith,,1989,60,8.7,2.9,1,2.2,44.4,0,0.1,0,0.9,1.3,69.7,0.2,0.9,1.2,1.7,0.6,0.1,0.6,4.1
4,Michael Smith,,1989,65,9.5,5,2.1,4.4,47.6,0,0.4,7.1,0.8,1,82.8,0.6,0.9,1.5,1.2,0.1,0,0.8,4.6
5,Dee Brown,,1990,82,23.7,8.7,3.5,7.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,2.2,4.2,1,0.2,1.7,10.4
6,Michael Smith,,1994,82,21.2,6.9,2.7,5,54.2,0,0,0,1.5,3.2,48.5,2.1,3.8,5.9,0.8,0.7,0.6,1.3,9.8
7,Mark Davis,,1995,57,10,3.3,1,2.6,36.9,0.1,0.2,30.8,1.3,2,63.8,1,1.2,2.2,0.8,0.7,0.4,1.2,3.8
8,Charles Smith,,1997,34,8.6,3.5,1.4,3.7,39.2,0.4,1.4,31.9,0.2,0.3,54.5,0.4,0.4,0.8,0.6,0.3,0.2,0.8,2.3
9,Dee Brown,,2006,49,9.2,1.9,0.7,2,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,2.8
10,Jeff Taylor,,2012,77,19.6,6.1,2.2,5.2,43.1,0.7,2,34.4,1,1.3,72.8,0.7,1.3,1.9,0.8,0.6,0.2,0.6,5.8
11,Andrew Toney,,1980,75,23.6,12.9,5.3,10.7,49.5,0.1,0.4,31,2.1,3,71.2,0.4,1.5,1.9,3.6,0.8,0.1,2.9,10.2
12,Bill Hanzlik,,1980,74,17,5.4,1.9,3.9,47.8,0,0.1,20,1.6,2,79.3,0.9,1.2,2.1,1.5,0.8,0.3,1.1,6.4
13,Bill Laimbeer,,1980,81,30.4,9.8,4.2,8.3,50.3,0,0,0,1.4,1.9,76.5,3.3,5.3,8.6,2.7,0.7,1,1.6,16.5
14,Billy Reid,,1980,59,10.1,3.2,1.4,3.1,45.4,0,0.1,0,0.4,0.7,56.4,0.5,0.6,1,1.2,0.6,0.1,1.3,2.8
15,Butch Carter,,1980,54,12.4,5.6,2.1,4.6,46.2,0.1,0.2,30,1.3,1.8,73.7,0.6,0.6,1.2,1,0.4,0,0.9,4.3
